what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1552933677472
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1552933677474
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1552933678057
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1552933678062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1552933682929
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1552933691880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1552933695618
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1552933698851
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1552933699028
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1552933699595
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1552933699670
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1552933704221
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1552933704226
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1552933704298
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1552933704300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1552933704525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1552933706412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1552933706594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1552933725402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1552933727284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1552933727330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1552933730791
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1552933731078
